
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-03-25 01:49:55 /assets/images/contact-left.jpg .............. ~ 0.88ms
  2026-03-25 01:49:55 /assets/webfonts/fa-solid-900.woff2 .......... ~ 0.31ms
  2026-03-25 01:50:19 / ............................................ ~ 0.10ms
  2026-03-25 01:50:19 /vendor/bootstrap/css/bootstrap.min.css ...... ~ 0.11ms
  2026-03-25 01:50:19 /assets/css/fontawesome.css .................. ~ 0.20ms
  2026-03-25 01:50:19 /assets/css/templatemo-tale-seo-agency.css ... ~ 0.41ms
  2026-03-25 01:50:19 /assets/css/owl.css .......................... ~ 0.47ms
  2026-03-25 01:50:19 /assets/css/animate.css ...................... ~ 0.68ms
  2026-03-25 01:50:19 /assets/images/logo.png ...................... ~ 0.89ms
  2026-03-25 01:50:19 /assets/images/GuiaAstral.png ................ ~ 0.22ms
  2026-03-25 01:50:19 /assets/images/ConsejoDiario.png ............. ~ 0.05ms
  2026-03-25 01:50:19 /assets/images/HoroscopodeAmor.png ........... ~ 0.17ms
  2026-03-25 01:50:19 /assets/images/RitualLunar.png ............... ~ 0.05ms
  2026-03-25 01:50:19 /vendor/jquery/jquery.min.js ................. ~ 0.18ms
  2026-03-25 01:50:19 /vendor/bootstrap/js/bootstrap.min.js ........ ~ 0.03ms
  2026-03-25 01:50:19 /assets/js/isotope.min.js .................... ~ 0.02ms
  2026-03-25 01:50:19 /assets/js/owl-carousel.js ................... ~ 0.04ms
  2026-03-25 01:50:19 /assets/js/tabs.js ........................... ~ 0.03ms
  2026-03-25 01:50:19 /assets/js/popup.js .......................... ~ 0.03ms
  2026-03-25 01:50:19 /assets/js/custom.js ......................... ~ 0.03ms
  2026-03-25 01:50:19 /assets/panel/js/markdown.js ................. ~ 0.12ms
  2026-03-25 01:50:19 /assets/images/RitualdeProsperidad.png ....... ~ 0.05ms
  2026-03-25 01:50:19 /assets/images/CompatibilidadZodiacal.png .... ~ 0.16ms
  2026-03-25 01:50:19 /assets/images/banner-left.png ............... ~ 0.06ms
  2026-03-25 01:50:19 /assets/images/contact-left.jpg .............. ~ 0.19ms
  2026-03-25 01:50:19 /assets/images/banner-right.png .............. ~ 0.45ms
  2026-03-25 01:50:19 /assets/webfonts/fa-solid-900.woff2 .......... ~ 0.03ms
  2026-03-25 01:50:35 / ............................................ ~ 0.13ms
  2026-03-25 01:50:35 /vendor/bootstrap/css/bootstrap.min.css ...... ~ 0.46ms
  2026-03-25 01:50:35 /assets/css/fontawesome.css .................. ~ 0.45ms
  2026-03-25 01:50:35 /assets/css/templatemo-tale-seo-agency.css ... ~ 0.58ms
  2026-03-25 01:50:35 /assets/css/owl.css .......................... ~ 0.56ms
  2026-03-25 01:50:35 /assets/css/animate.css ...................... ~ 0.77ms
  2026-03-25 01:50:35 /assets/images/logo.png ...................... ~ 1.04ms
  2026-03-25 01:50:35 /assets/images/GuiaAstral.png ................ ~ 0.27ms
  2026-03-25 01:50:35 /assets/images/ConsejoDiario.png ............. ~ 0.19ms
  2026-03-25 01:50:35 /assets/images/HoroscopodeAmor.png ........... ~ 0.04ms
  2026-03-25 01:50:35 /assets/images/RitualLunar.png ............... ~ 0.15ms
  2026-03-25 01:50:35 /vendor/jquery/jquery.min.js ................. ~ 0.05ms
  2026-03-25 01:50:35 /vendor/bootstrap/js/bootstrap.min.js ........ ~ 0.19ms
  2026-03-25 01:50:35 /assets/js/isotope.min.js .................... ~ 0.04ms
  2026-03-25 01:50:35 /assets/js/owl-carousel.js ................... ~ 0.21ms
  2026-03-25 01:50:35 /assets/js/tabs.js ........................... ~ 0.03ms
  2026-03-25 01:50:35 /assets/js/popup.js .......................... ~ 0.03ms
  2026-03-25 01:50:35 /assets/js/custom.js ......................... ~ 0.03ms
  2026-03-25 01:50:35 /assets/panel/js/markdown.js ................. ~ 0.03ms
  2026-03-25 01:50:35 /assets/images/RitualdeProsperidad.png ....... ~ 0.04ms
  2026-03-25 01:50:35 /assets/images/CompatibilidadZodiacal.png .... ~ 0.13ms
  2026-03-25 01:50:35 /assets/images/banner-left.png ............... ~ 0.10ms
  2026-03-25 01:50:35 /assets/images/banner-right.png .............. ~ 0.34ms
  2026-03-25 01:50:35 /assets/images/contact-left.jpg .............. ~ 0.44ms
  2026-03-25 01:50:35 /assets/webfonts/fa-solid-900.woff2 .......... ~ 0.11ms
  2026-03-25 01:53:34 / ............................................ ~ 0.12ms
  2026-03-25 01:53:34 /vendor/bootstrap/css/bootstrap.min.css ...... ~ 0.17ms
  2026-03-25 01:53:34 /assets/css/fontawesome.css .................. ~ 0.21ms
  2026-03-25 01:53:34 /assets/css/templatemo-tale-seo-agency.css ... ~ 0.36ms
  2026-03-25 01:53:34 /assets/css/owl.css .......................... ~ 0.42ms
  2026-03-25 01:53:34 /assets/css/animate.css ...................... ~ 0.63ms
  2026-03-25 01:53:34 /assets/images/logo.png ...................... ~ 0.83ms
  2026-03-25 01:53:34 /assets/images/GuiaAstral.png ................ ~ 0.26ms
  2026-03-25 01:53:34 /assets/images/ConsejoDiario.png ............. ~ 0.03ms
  2026-03-25 01:53:34 /assets/images/HoroscopodeAmor.png ........... ~ 0.03ms
  2026-03-25 01:53:34 /assets/images/RitualLunar.png ............... ~ 0.05ms
  2026-03-25 01:53:34 /vendor/jquery/jquery.min.js ................. ~ 0.29ms
  2026-03-25 01:53:34 /vendor/bootstrap/js/bootstrap.min.js ........ ~ 0.03ms
  2026-03-25 01:53:34 /assets/js/isotope.min.js .................... ~ 0.04ms
  2026-03-25 01:53:34 /assets/js/owl-carousel.js ................... ~ 0.21ms
  2026-03-25 01:53:34 /assets/js/tabs.js ........................... ~ 0.04ms
  2026-03-25 01:53:34 /assets/js/popup.js .......................... ~ 0.46ms
  2026-03-25 01:53:34 /assets/js/custom.js ......................... ~ 0.03ms
  2026-03-25 01:53:34 /assets/panel/js/markdown.js ................. ~ 0.03ms
  2026-03-25 01:53:34 /assets/images/RitualdeProsperidad.png ....... ~ 0.04ms
  2026-03-25 01:53:34 /assets/images/CompatibilidadZodiacal.png .... ~ 0.13ms
  2026-03-25 01:53:34 /assets/images/banner-left.png ............... ~ 0.06ms
  2026-03-25 01:53:34 /assets/images/banner-right.png .............. ~ 0.20ms
  2026-03-25 01:53:34 /assets/images/contact-left.jpg .............. ~ 0.33ms
  2026-03-25 01:53:34 /assets/webfonts/fa-solid-900.woff2 .......... ~ 0.03ms
